task_segments.thisRepN,task_segments.thisTrialN,task_segments.thisN,task_segments.thisIndex,task_segments.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,instructions_key.keys,instructions_key.rt,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,p_short,v_short,c_short,v_long,c_long,response.keys,response.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,33,0,33,0,None,,,,,,,,,,,,,,,,,['left'],[0.970984935760498],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,34,0,34,0,None,,,left,0.285295963287,1.08943595321,2,214.250808001,1,35,26,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,34,0,34,0,None,,,,,,,,,,,,,,,,,['left'],[0.2852959632873535],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,35,0,35,0,None,,,left,0.484959840775,0.979387674802,2,219.809165001,1,36,27,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,35,0,35,0,None,,,,,,,,,,,,,,,,,['left'],[0.48495984077453613],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,36,0,36,0,None,,,left,0.351522922516,1.3163565162,2,225.241684198,1,37,28,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,36,0,36,0,None,,,,,,,,,,,,,,,,,['left'],[0.35152292251586914],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,37,0,37,0,None,,,left,0.453616857529,0.746132727391,3,231.011747122,1,38,28,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,37,0,37,0,None,,,,,,,,,,,,,,,,,['left'],[0.4536168575286865],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,38,0,38,0,None,,,left,0.353060007095,0.952223153749,3,237.234644175,1,39,29,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,38,0,38,0,None,,,right,2.69175100327,0.952223153749,3,237.234644175,1,39,29,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,38,0,38,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.3530600070953369, 2.691751003265381]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,39,0,39,0,None,,,left,0.453640937805,0.551653135482,3,243.613752127,1,40,30,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,39,0,39,0,None,,,right,2.69135189056,0.551653135482,3,243.613752127,1,40,30,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,39,0,39,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.4536409378051758, 2.691351890563965]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
